Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Raycasting,setFromCamera and intersectObjects in animate,在 animate() 循环中调用 raycaster.setFromCamera(mouse camera) ，然后调用 raycaster.intersectObjects(targets true) 。 setFromCamera 必须在每帧的 intersectObjects 之前出现 - 没有它，光线投射器将使用陈旧的光线方向。,调用 setFromCamera，然后在每个 animate() 帧内按顺序 intersectObjects,调用 intersectObjects 而不先调用 setFromCamera - 光线投射器使用陈旧或零光线,"function animate() { requestAnimationFrame(animate); raycaster.setFromCamera(mouse, camera); //首先更新光线方向 const hit = raycaster.intersectObjects(targets, true); // 然后测试交叉点 if (hits.length > 0) { document.body.style.cursor = 'pointer'; } else { document.body.style.cursor = 'auto';渲染器.渲染（场景，相机）； }","function animate() { requestAnimationFrame(animate); const hits = raycaster.intersectObjects(targets, true); //BUG：setFromCamera 从未被调用 — 过时的光线 — 命中始终为空 renderer.render(scene, camera); }",Critical,https://threejs.org/docs/#api/en/core/Raycaster
Raycasting,Recursive Flag for Groups and GLTF,测试 Groups 或 GLTF 加载模型时，将 true 作为第二个参数传递给 intersectObjects。几何体存在于子 Mesh 对象上 - 没有 recursive:true 父组被测试但没有几何体并且命中始终为空。,对组或任何加载的模型使用 intersectObjects(targets true),针对没有递归标志的父组进行光线投射,"const hits = raycaster.intersectObjects(scene.children, true); //捕获所有后代网格物体",const hits = raycaster.intersectObjects([modelGroup]); //递归默认为 false — 错过所有子级,High,https://threejs.org/docs/#api/en/core/Raycaster.intersectObjects
Raycasting,Cursor Feedback on Hover,当找到交叉点时设置 document.body.style.cursor = 'pointer' 并在未找到交叉点时重置为 'auto'。如果没有光标反馈，用户就无法发现 3D 对象是交互式的。,将光标更新为点击时的指针；在同一动画循环块中未命中时重置为自动,运行光线投射并读取命中，而无需更新光标样式,if (hits.length > 0) { document.body.style.cursor = 'pointer'; } else { document.body.style.cursor = 'auto'; },"raycaster.setFromCamera(mouse, camera); raycaster.intersectObjects(targets, true); //忽略点击 - 光标永远不会改变 - 对象感觉非交互式",Medium,https://developer.mozilla.org/en-US/docs/Web/CSS/cursor
Animation,requestAnimationFrame Loop Only,使用 requestAnimationFrame 或 renderer.setAnimationLoop() 专门驱动渲染循环。切勿使用 setInterval 或 setTimeout - 它们不会与显示刷新率同步，并且在选项卡隐藏时继续运行，耗尽电池电量。,使用 requestAnimationFrame 或 renderer.setAnimationLoop() 作为唯一的渲染循环驱动程序,使用 setInterval 或 setTimeout 进行渲染计时,"function animate() { requestAnimationFrame(animate); renderer.render(scene, camera); } animate();","setInterval(() => renderer.render(scene, camera), 16); //不显示同步；即使选项卡隐藏，也能全速运行",Critical,https://threejs.org/docs/#api/en/renderers/WebGLRenderer.setAnimationLoop
Animation,THREE.Clock for Delta Time,对所有基于时间的运动使用 THREE.Clock 和 clock.getDelta()。像 += 0.01 这样的硬编码增量在 120Hz 显示器上以 2 倍速度运行，并且当帧在负载下下降时以不可预测的速度运行。关键：每个 animate() 帧精确调用一次 getDelta() 并将结果存储在本地 dt 变量中。 getDelta() 在每次调用时重置内部时钟 - 同一帧中的第二次调用始终返回 ~0，默默地破坏使用它的任何动画块。,在 animate()顶部调用一次 clock.getDelta()；将结果存储在 dt 中；在该框架中的任何地方重用 dt,每帧或在从 animate() 调用的帮助程序内多次调用 clock.getDelta(),"const clock = new THREE.Clock(); function animate() { requestAnimationFrame(animate); const dt = clock.getDelta(); //称为 ONCE — 在 mesh.rotation.y += dt * 0.8 下重用 dt；粒子.旋转.y += dt * 0.1; // 重用 dt，而不是第二个 getDelta() renderer.render(scene, camera); }",function animate() { requestAnimationFrame(animate); mesh.rotation.y += 0.01; //0.01 rad/帧 — 120Hz 上的运行速度比 60Hz 上快 2 倍},High,https://threejs.org/docs/#api/en/core/Clock
Animation,Lerp for Smooth Pointer Follow,每帧使用 value += (target - value) * alpha 平滑地插值到移动目标。 0.03-0.1 的 alpha 可以为相机跟随指针跟踪和悬停缩放效果产生有机缓动，而无需 GSAP。,应用 lerp 公式，每帧具有较小的 alpha，以实现平滑的有机运动,将值直接捕捉到目标，产生即时的震动跳跃,//在 animate() 中：cameraTargetX = mouse.x * 3;相机.位置.x += (cameraTargetX - 相机.位置.x) * 0.05;相机.位置.y += (cameraTargetY - 相机.位置.y) * 0.05;相机.lookAt(场景.位置);,//在 animate() 中：camera.position.x = mouse.x * 3; // 即时捕捉 — 刺耳且无缓动,Medium,https://threejs.org/docs/#api/en/math/MathUtils.lerp
Animation,GSAP for Multi-Step Sequences,将 GSAP 时间线用于任何具有两个以上连续步骤的动画或滚动链接的摄像机路径。 GSAP 时间线可以暂停、反转和清理——比布尔状态机更易于维护。,将 GSAP 时间线用于具有两个以上步骤的序列和滚动驱动的动画,使用布尔标志和手动帧计数器实现多步序列,"const tl = gsap.timeline({ defaults: { ease: 'power2.out' } }); tl.from(mesh.position, { y: -3, duration: 1 }) .to(mesh.rotation, { y: Math.PI, duration: 1 }, '-=0.3') .to(camera.position, { z: 2, duration: 1.5 });",let step = 0; let t = 0; function animate() { if (step === 0 && (t += 0.01) >= 1) step = 1; } //超过 3 个步骤就变得难以管理,High,https://gsap.com/docs/v3/GSAP/Timeline/
Animation,Pause Render Loop on Tab Hidden,使用 renderer.setAnimationLoop() 作为循环驱动程序，这样您就可以传递 null 来暂停并传递一个函数来恢复。在隐藏选项卡中连续渲染会浪费 CPU GPU 和电池，对用户没有任何好处。,使用 renderer.setAnimationLoop(animate) 驱动循环；传递 null 以在可见性更改时暂停,使用内部 requestAnimationFrame 驱动，并且在隐藏选项卡时永远不会停止循环,"renderer.setAnimationLoop(animate); //使用 setAnimationLoop 作为驱动程序——而不是在 animate 函数 animate() 中使用 requestAnimationFrame { const dt = clock.getDelta();渲染器.渲染（场景，相机）； } document.addEventListener('visibilitychange', () => { if (document.hidden) renderer.setAnimationLoop(null); else renderer.setAnimationLoop(animate); });","function animate() { requestAnimationFrame(animate); //自引用 RAF 无法在外部停止 renderer.render(scene, camera); } 动画（）； // 在后台选项卡中永远运行 - 耗尽电池",High,https://developer.mozilla.org/en-US/docs/Web/API/Page_Visibility_API
GSAP,Load GSAP Before Scene Script,在场景脚本之前从其自己的 CDN 脚本标记加载 GSAP。在捆绑器项目中通过 npm 进行安装并导入。 GSAP 是一个与 Three.js 完全独立的库——切勿尝试从 Three.js 包中导入它。,在场景脚本之前加载 GSAP CDN；或 npm install gsap 并单独导入,从三个导入 gsap 或期望它在没有单独加载的情况下定义,"<!-- CDN：在场景脚本之前加载 GSAP --> <script src=""https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/gsap.min.js""></script> <!-- 捆绑器： --> // 从 'gsap' 导入 gsap; 从 'gsap/ScrollTrigger' 导入 { ScrollTrigger };",import gsap from 'three'; //未定义 — GSAP 与 Three.js 无关,Critical,https://gsap.com/docs/v3/Installation
GSAP,Register ScrollTrigger Before Use,在脚本顶部的任何 scrollTrigger 配置对象之前调用一次 gsap.registerPlugin(ScrollTrigger) 。如果没有注册，ScrollTrigger 名称是未定义的，并且补间会立即抛出。,使用 scrollTrigger 调用 gsap.registerPlugin(ScrollTrigger) 作为任何 gsap.to/from/timeline 之前的第一行,在 gsap.to() 调用中包含 scrollTrigger 配置，无需先注册插件,"gsap.registerPlugin(ScrollTrigger); gsap.to(camera.position, { z: 2, scrollTrigger: { trigger: '.hero-section', scrub: 1 } });","gsap.to(mesh.position, { scrollTrigger: { trigger: '.section', scrub: true } }); //类型错误：ScrollTrigger 不是构造函数 — 未注册",Critical,https://gsap.com/docs/v3/Plugins/ScrollTrigger/
GSAP,Tween Three.js Properties Directly,GSAP 可以补间任何数字 JavaScript 属性，包括 mesh.position.x、mesh.rotation.y 和 material.opacity。不需要包装器或适配器。注意：对于补间材质.opacity，材质必须在补间开始之前设置透明：true。,将 Three.js 对象属性直接传递给 gsap.to();在补间不透明度之前设置透明：true,使用普通代理对象，然后每帧手动将值复制到 Three.js 属性,"gsap.to(mesh.rotation, { y: Math.PI * 2, duration: 2, ease: 'power1.inOut' }); mesh.material.transparent = true; //补间不透明度之前需要 gsap.to(mesh.material, { opacity: 0,uration: 1 });","const tw = { v: 0 }; gsap.to(tw, { v: Math.PI * 2, onUpdate: () => mesh.rotation.y = tw.v }); //不必要的代理包装器",Medium,https://gsap.com/docs/v3/GSAP/gsap.to()
GSAP,scrub for Scroll-Driven Camera Path,使用 scrub:true 或 scrub:1 将相机移动以 0-1 的比例连续链接到滚动位置。磨砂：1 添加 1 秒的延迟以实现电影般的平滑度。 onEnter/onLeave 仅触发一次并产生刺耳的快照 - 这不是相机路径的正确工具。,使用 scrub:1 进行任何滚动控制的相机移动,使用 onEnter 或 onLeave 回调来进行相机运动 - 它们会捕捉而不是擦洗,"gsap.registerPlugin(ScrollTrigger); gsap.to(camera.position, { x: 5, y: 2, z: 0, ease: 'none', scrollTrigger: { trigger: '.canvas-wrapper', start: 'top top', end: 'bottom bottom', scrub: 1 } });","gsap.to(camera.position, { z: 0, scrollTrigger: { trigger: '.section', onEnter: () => {} } }); //在滚动阈值处触发一次 - 不是连续的擦洗",High,https://gsap.com/docs/v3/Plugins/ScrollTrigger/
Performance,InstancedMesh for Repeated Objects,渲染 50 个或更多相同对象时使用 THREE.InstancedMesh。它在一次绘制调用中提交所有 N 个变换，而不是 N 个绘制调用，并显着减少了 CPU-GPU 通信开销。,对共享相同几何体和材质的 50 多个网格体的任何组使用 InstancedMesh,创建 50 多个具有相同几何形状和材质的独立网格对象,"const COUNT = 500; const iMesh = new THREE.InstancedMesh(geo, mat, COUNT); const matrix = new THREE.Matrix4(); for (let i = 0; i < COUNT; i++) { matrix.setPosition(Math.random()*10, Math.random()*10, Math.random()*10); iMesh.setMatrixAt(i, matrix); } iMesh.instanceMatrix.needsUpdate = true; scene.add(iMesh);","for (let i = 0; i < 500; i++) { scene.add(new THREE.Mesh(geo, mat)); } //每帧 500 个单独的绘制调用",High,https://threejs.org/docs/#api/en/objects/InstancedMesh
Performance,Tone Mapping and sRGB Encoding,在渲染器上启用 ACESFillicToneMapping 和 sRGBEncoding 以获得准确的感知颜色。如果没有色调映射，颜色会显得褪色或过度饱和。这些是构建后设置的渲染器属性，并立即生效。,为所有生产场景构建后设置 renderer.toneMapping 和 renderer.outputEncoding,当场景以逼真的视觉效果为目标时，将色调映射和输出编码保留为默认值,renderer.toneMapping = THREE.ACESFilmicToneMapping; renderer.toneMappingExposure = 1.0; renderer.outputEncoding = THREE.sRGBEncoding; //正确的 r128,const renderer = new THREE.WebGLRenderer(); //默认值：NoToneMapping + LinearEncoding — 颜色显得平坦且不正确,Medium,https://threejs.org/docs/#api/en/renderers/WebGLRenderer.toneMapping
Performance,antialias Set at Construction Only,抗锯齿选项只能在 WebGLRenderer 构建时设置。在构造之后设置 renderer.antialias 绝对没有效果——WebGL 上下文已经在没有它的情况下创建了。在实例化之前决定。,在 WebGLRenderer 构造函数选项对象中设置 antialias:true,构造没有抗锯齿的渲染器，然后尝试通过分配属性来启用它,"const renderer = new THREE.WebGLRenderer({ antialias: true, alpha: true }); //抗锯齿融入到 WebGL 上下文中",const renderer = new THREE.WebGLRenderer(); renderer.antialias = true; //没有效果——在没有 AA 的情况下创建上下文——边缘保持别名,High,https://threejs.org/docs/#api/en/renderers/WebGLRenderer
Performance,FogExp2 for Depth and Far Culling,使用 scene.fog 创建大气深度。作为次要好处，在远平面停止对绘制调用做出贡献之前，对象会消失在雾中 - 在具有大视距的场景中非常有用。,将 FogExp2 添加到视距超过 100 单位的场景，以营造视觉氛围和隐式远剔除,忽略远距离场景中的雾：1000+ 以及许多远距离物体在每次绘制调用中贡献微小像素,"scene.fog = new THREE.FogExp2(0x0a0a0a, 0.02); //指数——密度感觉比线性更自然",//远：2000，无雾 - 数百个遥远的物体太小而无法看到，但每帧仍然需要绘制调用,Low,https://threejs.org/docs/#api/en/scenes/FogExp2
Particles,BufferGeometry Plus Points for Particle Systems,使用 BufferGeometry 以及渲染为点的 Float32Array 位置属性构建所有粒子系统。切勿使用单个网格对象作为粒子 - 它们无法扩展到超过数百个而具有良好的性能。,使用 Points 加上 BufferGeometry 实现所有粒子效果,创建数百个单独的网格对象来模拟粒子系统,"const COUNT = 3000; const geo = new THREE.BufferGeometry(); const pos = new Float32Array(COUNT * 3); for (let i = 0; i < COUNT * 3; i++) pos[i] = (Math.random() - 0.5) * 20; geo.setAttribute('position', new THREE.BufferAttribute(pos, 3)); const particles = new THREE.Points(geo, new THREE.PointsMaterial({ size: 0.05, color: 0xffffff })); scene.add(particles);","for (let i = 0; i < 500; i++) { scene.add(new THREE.Mesh(new THREE.SphereGeometry(0.05, 8, 8), mat)); } //每帧 500 个单独的绘制调用",High,https://threejs.org/docs/#api/en/objects/Points
Particles,Particle Count Ceiling,以 1000-3000 个粒子启动粒子系统。超过 50000 会导致中端移动设备持续掉帧。在增加计数之前，请务必在真实设备上进行测试 - 桌面和移动 GPU 性能比可以为 10:1。,从 3000 个粒子开始，并在提高限制之前在实际移动硬件上进行分析,将粒子数设置为 100000 或更高，无需任何移动分析,const COUNT = 3000; //安全移动基线 — 走高之前先进行性能分析 (Profile) const pos = new Float32Array(COUNT * 3);,const COUNT = 150000; //台式机上 60 fps — 中档 Android 手机上 8 fps,High,https://threejs.org/docs/#api/en/objects/Points
Particles,needsUpdate After Buffer Mutation,在每帧改变任何 BufferAttribute 数组值后，您必须设置 Geometry.attributes.position.needsUpdate = true，以便 Three.js 将更改后的缓冲区重新上传到 GPU。如果没有它，GPU 仍然使用旧数据，并且粒子看起来完全冻结。,在数组的每个每帧突变后，在位置属性上设置 needUpdate = true,改变 Float32Array 值而不标记 needUpdate — 位置在 JS 中更新，但不在 GPU 上更新,//在 animate() 中： const pos = geo.attributes.position.array; for (let i = 0; i < pos.length; i += 3) { pos[i + 1] += Math.sin(clock.getElapsedTime() + i) * 0.001; // Y 分量 } geo.attributes.position.needsUpdate = true; // GPU 重新上传,//在 animate() 中： pos[1] += 0.001； // JS 数组已更新 — GPU 缓冲区已过时 — 粒子不移动,Critical,https://threejs.org/docs/#api/en/core/BufferAttribute.needsUpdate
Responsive,Canvas Dimensions Not Window,将渲染器和相机的大小设置为画布元素的 clientWidth 和 clientHeight — 而不是 window.innerWidth 和 insideHeight。当画布位于未填充整个视口的 Flex 或网格容器内时，这是正确的。,使用 canvas.clientWidth 和 canvas.clientHeight 来调整所有渲染器和相机的大小,当画布可能位于容器内时，将渲染器大小硬编码为 window.innerWidth/innerHeight,"renderer.setSize(canvas.clientWidth, canvas.clientHeight); camera.aspect = canvas.clientWidth / canvas.clientHeight; camera.updateProjectionMatrix();","renderer.setSize(window.innerWidth, window.innerHeight); //当画布位于侧边栏或网格列内时错误",High,https://threejs.org/docs/#api/en/renderers/WebGLRenderer.setSize
Responsive,ResizeObserver Over window resize Event,在画布容器上使用 ResizeObserver 而不是窗口调整大小事件。当容器元素独立于浏览器窗口改变大小时，ResizeObserver 会被触发——这在分割窗格布局和侧边栏折叠中很常见。,将 ResizeObserver 附加到画布父元素，以进行准确的容器感知调整大小检测,当画布非全屏时，仅使用 window.addEventListener('resize') 调整画布大小,"const ro = new ResizeObserver(entries => { const { width, height } = entries[0].contentRect; renderer.setSize(width, height); camera.aspect = width / height; camera.updateProjectionMatrix(); }); ro.observe(canvas.parentElement);","window.addEventListener('resize', () => { renderer.setSize(window.innerWidth, window.innerHeight); }); //错过了拆分窗格 UI 中仅容器调整大小事件",Medium,https://developer.mozilla.org/en-US/docs/Web/API/ResizeObserver
Responsive,Touch Events for Mobile Interaction,在鼠标事件旁边添加 touchstart 和 touchmove 侦听器，以便场景在移动设备上保持交互。将触摸坐标标准化为与鼠标事件相同的 NDC 范围，并在调用 PreventDefault 时在 touchmove 上传递 Passive:false。,处理任何交互式 3D 场景的鼠标和触摸输入,仅添加鼠标事件侦听器并让触摸用户不进行交互,"canvas.addEventListener('touchmove', e => { e.preventDefault(); const t = e.touches[0]; mouse.x = (t.clientX / canvas.clientWidth) * 2 - 1; mouse.y = -(t.clientY / canvas.clientHeight) * 2 + 1; }, { passive: false }); canvas.addEventListener('touchstart', e => { e.preventDefault(); }, { passive: false });","canvas.addEventListener('mousemove', handleMouse); //触摸事件未处理——移动用户无法进行交互",Medium,https://developer.mozilla.org/en-US/docs/Web/API/Touch_events
Accessibility,prefers-reduced-motion,在开始任何自动旋转、粒子动画或相机移动之前检查 window.matchMedia('(prefers-reduced-motion: reduce)') 。启用此操作系统首选项的用户患有晕动病或前庭障碍。重要提示：在页面加载时读取 .matches 一次是一次性快照 - 如果用户在会话中更改其操作系统可访问性设置，则场景将不会做出 React。将“更改”侦听器附加到 MediaQueryList，以便 noMotion 在运行时保持同步。,使用 matchMedia.addEventListener('change') 保持 noMotion 响应；根据实时值控制所有自动动画,在启动时读取 .matches 一次，并且从不更新它 - 场景会忽略会话中操作系统设置更改,"const mq = window.matchMedia('(prefers-reduced-motion: reduce)'); let noMotion = mq.matches; mq.addEventListener('change', e => { noMotion = e.matches; }); //在 animate() 中： if (!noMotion) { mesh.rotation.y += dt * 0.8;粒子.旋转.y += dt * 0.1; }",const noMotion = window.matchMedia('(prefers-reduced-motion: reduce)').matches; //一次性快照——完全忽略会话中操作系统的更改,High,https://developer.mozilla.org/en-US/docs/Web/CSS/@media/prefers-reduced-motion
Accessibility,Canvas aria-label,将 role='img' 和描述性 aria-label 添加到 renderer.domElement 将其附加到 DOM 后。屏幕阅读器不会从 WebGL 画布接收任何信息 - aria 标签是他们可以向用户宣布的唯一描述。,在附加之前或之后在 renderer.domElement 上设置 role='img' 和有意义的 aria-label,将画布附加到没有辅助功能的 DOM - 对于屏幕阅读器不可见,"renderer.domElement.setAttribute('role', 'img'); renderer.domElement.setAttribute('aria-label', 'Interactive 3D product viewer. Drag to rotate. Scroll to zoom.'); document.body.appendChild(renderer.domElement);",document.body.appendChild(renderer.domElement); //裸露的画布——屏幕阅读器什么也没宣布,Medium,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/canvas#accessibility_concerns
Production,Bundler Stack for Production,对于生产环境，通过 npm 加 Vite 使用 Three.js。您可以获得对完整示例/jsm 库的完整的树摇式缩减包大小访问，包括 OrbitControls GLTFLoader 和 EffectComposer 以及 TypeScript 支持。,使用 npm install 三加 Vite 或 Webpack 进行任何面向生产客户的项目,在需要 tree-shaking 或 TypeScript 的生产应用程序中提供原始 CDN 脚本标签,npm install three gsap //然后在你的 JS 中： import * as THREE from 'third';从 '三/examples/jsm/controls/OrbitControls.js' 导入 { OrbitControls } ；从 '三个/examples/jsm/loaders/GLTFLoader.js' 导入 { GLTFLoader }；,"<!-- 在 Vite/React 生产版本中： --> <script src=""https://cdnjs.cloudflare.com/ajax/libs/ Three.js/r128/third.min.js""></script> // 没有 tree-shaking — 整个 Three.js 都已发布",Medium,https://threejs.org/docs/#manual/en/introduction/Installation
Production,GLTFLoader with scene traverse,使用 GLTFLoader 加载 3D 模型并遍历 gltf.scene 以在所有子网格节点上配置 castShadow receiveShadow 和材质覆盖。单独调用 scene.add(gltf.scene) 会静默跳过所有阴影和材质配置。,使用 GLTFLoader 并遍历整个 gltf.scene 图在每个 Mesh 子节点上设置阴影和材质,加载 GLTF 模型并将 gltf.scene 直接传递给 scene.add 而不遍历子网格,"import { GLTFLoader } from 'three/examples/jsm/loaders/GLTFLoader.js'; const loader = new GLTFLoader(); loader.load('model.glb', gltf => { gltf.scene.traverse(child => { if (child.isMesh) { child.castShadow = true; child.receiveShadow = true; } }); scene.add(gltf.scene); });","loader.load('model.glb', gltf => { scene.add(gltf.scene); //所有子项都会默默地跳过阴影和材质设置})；",Medium,https://threejs.org/docs/#examples/en/loaders/GLTFLoader
Production,LOD for Distance-Based Detail,当物体靠近或远离相机时，使用 THREE.LOD 自动交换高细节和低细节几何体。这可以保持具有分布在较大深度范围内的许多对象的场景中的帧速率。,使用 THREE.LOD 自动减少远处物体上的三角形数量,为每个对象渲染相同的高多边形几何体，无论其距相机的距离如何,"const lod = new THREE.LOD(); lod.addLevel(highDetailMesh, 0); //当距离 < 15 个单位时使用 lod.addLevel(medDetailMesh, 15); // 15–50 单位 lod.addLevel(lowDetailMesh, 50); // 50+ 单位 scene.add(lod);",scene.add(highDetailMesh); //无论是来自相机的 1 个单位还是 100 个单位，均以全额成本渲染 64k 三角形网格,Medium,https://threejs.org/docs/#api/en/objects/LOD
