No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
43,Music/Entertainment,Display + Sans,Righteous,Poppins,"music, entertainment, fun, energetic, bold, performance",音乐平台、娱乐、活动、节日、表演者,https://fonts.google.com/share?selection.family=Poppins:wght@300;400;500;600;700|Righteous,@import url('https://fonts.googleapis.com/css2?family=Poppins:wght@300;400;500;600;700&family=Righteous&display=swap');,"fontFamily: { display: ['Righteous', 'sans-serif'], sans: ['Poppins', 'sans-serif'] }",正义的大胆娱乐标题。 Poppins 的身体。
44,Minimalist Portfolio,Sans + Sans,Archivo,Space Grotesk,"minimal, portfolio, designer, creative, clean, artistic",设计作品集、创意专业人士、简约品牌,https://fonts.google.com/share?selection.family=Archivo:wght@300;400;500;600;700|Space+Grotesk:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Archivo:wght@300;400;500;600;700&family=Space+Grotesk:wght@300;400;500;600;700&display=swap');,"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['Archivo', 'sans-serif'] }",Space Grotesk 用于独特的标题。 Archivo 用于清洁身体。
45,Kids/Education,Display + Sans,Baloo 2,Comic Neue,"kids, education, playful, friendly, colorful, learning",儿童应用、教育游戏、适合儿童的内容,https://fonts.google.com/share?selection.family=Baloo+2:wght@400;500;600;700|Comic+Neue:wght@300;400;700,@import url('https://fonts.googleapis.com/css2?family=Baloo+2:wght@400;500;600;700&family=Comic+Neue:wght@300;400;700&display=swap');,"fontFamily: { display: ['Baloo 2', 'sans-serif'], sans: ['Comic Neue', 'sans-serif'] }",适合儿童的有趣、俏皮的字体。 Comic Neue 是一种可读的漫画风格。
46,Wedding/Romance,Script + Serif,Great Vibes,Cormorant Infant,"wedding, romance, elegant, script, invitation, feminine",婚礼网站、请柬、浪漫品牌、新娘,https://fonts.google.com/share?selection.family=Cormorant+Infant:wght@300;400;500;600;700|Great+Vibes,@import url('https://fonts.googleapis.com/css2?family=Cormorant+Infant:wght@300;400;500;600;700&family=Great+Vibes&display=swap');,"fontFamily: { script: ['Great Vibes', 'cursive'], serif: ['Cormorant Infant', 'serif'] }",优雅的氛围营造出美妙的氛围。可读文本的鸬鹚。
47,Science/Tech,Sans + Sans,Exo,Roboto Mono,"science, technology, research, data, futuristic, precise",科学、研究、技术文档、数据密集型网站,https://fonts.google.com/share?selection.family=Exo:wght@300;400;500;600;700|Roboto+Mono:wght@300;400;500;700,@import url('https://fonts.googleapis.com/css2?family=Exo:wght@300;400;500;600;700&family=Roboto+Mono:wght@300;400;500;700&display=swap');,"fontFamily: { sans: ['Exo', 'sans-serif'], mono: ['Roboto Mono', 'monospace'] }",Exo 具有现代科技感。 Roboto Mono 用于代码/数据。
48,Accessibility First,Sans + Sans,Atkinson Hyperlegible,Atkinson Hyperlegible,"accessible, readable, inclusive, WCAG, dyslexia-friendly, clear",无障碍关键站点、政府、医疗保健、包容性设计,https://fonts.google.com/share?selection.family=Atkinson+Hyperlegible:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Atkinson+Hyperlegible:wght@400;700&display=swap');,"fontFamily: { sans: ['Atkinson Hyperlegible', 'sans-serif'] }",专为最大程度的易读性而设计。非常适合可访问性。
49,Sports/Fitness,Sans + Sans,Barlow Condensed,Barlow,"sports, fitness, athletic, energetic, condensed, action",体育、健身、健身房、运动品牌、竞赛,https://fonts.google.com/share?selection.family=Barlow+Condensed:wght@400;500;600;700|Barlow:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Barlow+Condensed:wght@400;500;600;700&family=Barlow:wght@300;400;500;600;700&display=swap');,"fontFamily: { display: ['Barlow Condensed', 'sans-serif'], body: ['Barlow', 'sans-serif'] }",浓缩为具有影响力的头条新闻。身体的常规巴洛。
50,Luxury Minimalist,Serif + Sans,Bodoni Moda,Jost,"luxury, minimalist, high-end, sophisticated, refined, premium",奢华简约品牌、高端时尚、优质产品,https://fonts.google.com/share?selection.family=Bodoni+Moda:wght@400;500;600;700|Jost:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bodoni+Moda:wght@400;500;600;700&family=Jost:wght@300;400;500;600;700&display=swap');,"fontFamily: { serif: ['Bodoni Moda', 'serif'], sans: ['Jost', 'sans-serif'] }",Bodoni 的高对比优雅。 Jost 为几何体。
51,Tech/HUD Mono,Mono + Mono,Share Tech Mono,Fira Code,"tech, futuristic, hud, sci-fi, data, monospaced, precise",科幻界面、开发者工具、网络安全、仪表板,https://fonts.google.com/share?selection.family=Fira+Code:wght@300;400;500;600;700|Share+Tech+Mono,@import url('https://fonts.googleapis.com/css2?family=Fira+Code:wght@300;400;500;600;700&family=Share+Tech+Mono&display=swap');,"fontFamily: { hud: ['Share Tech Mono', 'monospace'], code: ['Fira Code', 'monospace'] }",Share Tech Mono 具有经典的科幻外观。
52,Pixel Retro,Display + Sans,Press Start 2P,VT323,"pixel, retro, gaming, 8-bit, nostalgic, arcade",像素艺术游戏、复古网站、创意作品集,https://fonts.google.com/share?selection.family=Press+Start+2P|VT323,@import url('https://fonts.googleapis.com/css2?family=Press+Start+2P&family=VT323&display=swap');,"fontFamily: { pixel: ['Press Start 2P', 'cursive'], terminal: ['VT323', 'monospace'] }",按开始 2P 非常宽/大。 VT323 更适合正文。
53,Neubrutalist Bold,Display + Sans,Lexend Mega,Public Sans,"bold, neubrutalist, loud, strong, geometric, quirky",中性主义设计、Z 世代品牌、大胆营销,https://fonts.google.com/share?selection.family=Lexend+Mega:wght@100..900|Public+Sans:wght@100..900,@import url('https://fonts.googleapis.com/css2?family=Lexend+Mega:wght@100..900&family=Public+Sans:wght@100..900&display=swap');,"fontFamily: { mega: ['Lexend Mega', 'sans-serif'], body: ['Public Sans', 'sans-serif'] }",Lexend Mega 具有鲜明的特征和可变的重量。
54,Academic/Archival,Serif + Serif,EB Garamond,Crimson Text,"academic, old-school, university, research, serious, traditional",大学网站、档案、研究论文、历史,https://fonts.google.com/share?selection.family=Crimson+Text:wght@400;600;700|EB+Garamond:wght@400;500;600;700;800,@import url('https://fonts.googleapis.com/css2?family=Crimson+Text:wght@400;600;700&family=EB+Garamond:wght@400;500;600;700;800&display=swap');,"fontFamily: { classic: ['EB Garamond', 'serif'], text: ['Crimson Text', 'serif'] }",经典学院派美学。非常清晰。
55,Spatial Clear,Sans + Sans,Inter,Inter,"spatial, legible, glass, system, clean, neutral",空间计算、AR/VR、玻璃拟态 / 磨砂玻璃风接口,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&display=swap');,"fontFamily: { sans: ['Inter', 'sans-serif'] }",针对动态背景的可读性进行了优化。
56,Kinetic Motion,Display + Mono,Syncopate,Space Mono,"kinetic, motion, futuristic, speed, wide, tech",音乐节、汽车、高能品牌,https://fonts.google.com/share?selection.family=Space+Mono:wght@400;700|Syncopate:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Space+Mono:wght@400;700&family=Syncopate:wght@400;700&display=swap');,"fontFamily: { display: ['Syncopate', 'sans-serif'], mono: ['Space Mono', 'monospace'] }",切分音的宽姿态非常适合运动效果。
57,Gen Z Brutal,Display + Sans,Anton,Epilogue,"brutal, loud, shouty, meme, internet, bold",Z 世代营销、街头服饰、病毒式营销活动,https://fonts.google.com/share?selection.family=Anton|Epilogue:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Anton&family=Epilogue:wght@400;500;600;700&display=swap');,"fontFamily: { display: ['Anton', 'sans-serif'], body: ['Epilogue', 'sans-serif'] }",Anton is impactful and condensed. Good for stickers/badges.
58,Bauhaus Geometric,Geometric Sans + Single Weight,Outfit,Outfit,"bauhaus, geometric, constructivist, bold, uppercase, architectural, mechanical, poster, tactile","Bauhaus mobile apps, bold editorial mobile, design-forward branding apps, art/culture platforms",https://fonts.google.com/share?selection.family=Outfit:wght@400;500;700;900,@import url('https://fonts.googleapis.com/css2?family=Outfit:wght@400;500;700;900&display=swap');,"fontFamily: { display: ['Outfit', 'sans-serif'], body: ['Outfit', 'sans-serif'] }",Single-family system: Outfit 900 uppercase tracking-tighter for heroes; Outfit 700 uppercase for buttons/nav; Outfit 500 for body. Scale aggressively: text-4xl–text-5xl headlines on mobile.
59,Minimalist Monochrome Editorial,Serif + Serif + Mono (Triple Stack),Playfair Display,Source Serif 4,"monochrome, editorial, austere, typographic, pocket manifesto, luxury, high contrast, brutalist mobile",奢华时尚移动应用程序、社论出版物、数字展览、作品集应用程序、高对比度电子阅读器美学,"https://fonts.google.com/share?selection.family=JetBrains+Mono:wght@400;500|Playfair+Display:ital,wght@0,400;0,700;0,900;1,400|Source+Serif+4:ital,wght@0,300;0,400;0,600;1,300","@import url('https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500&family=Playfair+Display:ital,wght@0,400;0,700;0,900;1,400&family=Source+Serif+4:ital,wght@0,300;0,400;0,600;1,300&display=swap');","fontFamily: { display: ['Playfair Display', 'serif'], body: ['Source Serif 4', 'serif'], mono: ['JetBrains Mono', 'monospace'] }",三重堆栈：Playfair Display 900 跟踪-更紧密的领先-[0.9] 英雄（text-5xl - text-6xl 以图形方式打破单词）。 Source Serif 4 300–600 保证正文的易读性。 JetBrains Mono 400–500 大写字母跟踪最宽的标签/日期/标签。没有 UI 无衬线 — 100% 衬线/单色。
60,Modern Dark Cinema (Inter System),Sans + Mono,Inter,Inter,"dark, cinematic, technical, precision, clean, premium, developer, professional, high-end utility",开发者工具、金融科技/交易、人工智能仪表板、流媒体平台、高端生产力应用程序,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&display=swap');,"fontFamily: { sans: ['Inter', 'sans-serif'] }","单系列精密系统：Inter 700（-1.5 跟踪），用于 Display 48pt； Inter 600（-0.5 追踪）H1 32pt / H2 24pt； Inter 400 身体 16pt； Inter 500 大写 +1.2 跟踪标签/单声道。通过 mask-view + react-native-linear-gradient (#FFFFFF → rgba(255,255,255,0.7)) 在主要标题上实现渐变文本。"
61,SaaS Mobile Boutique (Calistoga + Inter),Display Serif + Sans + Mono,Calistoga,Inter,"saas, boutique, electric, warm, editorial, bold, premium, fintech, business, dual font, human warmth",B2B SaaS 移动、金融科技应用程序、分析仪表板、营销工具、运营平台,https://fonts.google.com/share?selection.family=Calistoga:ital@0;1|Inter:wght@300;400;500;600;700|JetBrains+Mono:wght@400;500,@import url('https://fonts.googleapis.com/css2?family=Calistoga:ital@0;1&family=Inter:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500&display=swap');,"fontFamily: { display: ['Calistoga', 'serif'], body: ['Inter', 'sans-serif'], mono: ['JetBrains Mono', 'monospace'] }",三叠：英雄卡利斯托加（增添人性温暖）36-42 分领先-1.1； Inter 400–600 身体/UI 16–18pt； JetBrains Mono 12pt 大写跟踪 - [1.5] 用于数据标签和部分徽章。比例：英雄 36–42pt，H2 部分 28–32pt，主体 16–18pt，标签 12pt。除社论标注外，避免使用斜体卡利斯托加。
62,Terminal CLI Monospace,Mono + Mono (Single Family),JetBrains Mono,JetBrains Mono,"terminal, cli, hacker, monospace, matrix, developer, retro-future, command line, precision, OLED",开发者工具、Web3/区块链应用、黑客美学、科幻游戏、ARG、安全工具、极客文化组合,"https://fonts.google.com/share?selection.family=JetBrains+Mono:ital,wght@0,400;0,500;1,400","@import url('https://fonts.googleapis.com/css2?family=JetBrains+Mono:ital,wght@0,400;0,500;1,400&display=swap');","fontFamily: { mono: ['JetBrains Mono', 'monospace'] }",单一等宽系统：仅使用 JetBrains Mono（或 SpaceMono-Regular 作为系统后备）。严格的尺寸：仅 12pt / 14pt / 16pt — 没有中间值。重量：400 正常（粗体废墟单色字符）。行高：信息密度的 1.2 倍字体大小。字母间距：正常（等宽自动间距）。所有 UI 标签均大写。 ASCII 边框和基于文本的进度条。
63,Kinetic Brutalism (Space Grotesk),Geometric Sans (Single Dominant),Space Grotesk,Space Grotesk,"kinetic, brutalist, aggressive, uppercase, oversized, display, motion, street, bold, high-energy, zine",音乐/文化应用、体育平台、品牌旗舰手机、性能仪表板、地下产品投放,https://fonts.google.com/share?selection.family=Space+Grotesk:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&display=swap');,"fontFamily: { display: ['Space Grotesk', 'sans-serif'], body: ['Space Grotesk', 'sans-serif'] }",主要的单字体系列系统：Space Grotesk 700-900 用于全部展示。比例：英雄 60–120pt（窗口宽度/375*尺寸），部分 40–50pt，卡片标题 28–32pt，正文 18–20pt，标签 12pt。所有显示/按钮/导航：大写，字母间距 -1（大）/+2（标签），行高 0.9–1.1x。使用国际米兰作为后备。字体比例必须使用 PixelRatio 帮助程序来实现响应式大小调整。
64,Flat Design Mobile (System Bold),Sans + Sans,Inter,Inter,"flat, clean, system, bold, geometric, cross-platform, icon, poster, minimal, functional, responsive",跨平台应用程序、仪表板、系统 UI、入门、营销页面、信息应用程序、图标密集型界面,https://fonts.google.com/share?selection.family=Inter:wght@400;600;700;800,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700;800&display=swap');,"fontFamily: { sans: ['Inter', 'sans-serif'] }",系统优先策略：Inter 作为主要策略，在 iOS/Android 上回退到系统 SF/Roboto。比例：标题 fontWeight 800 letterSpacing -0.5；副标题字体粗细 600 字体大小 18；正文字体粗细 400，行高 24；标签 fontWeight 700 大写字母间距 1。粗粗的字重承载所有层次结构，因为没有阴影。使用激进的尺寸对比（海报规则：正文 16pt 与标题 40pt+）。避免斜体。
65,Material You MD3 (Roboto System),Sans (System Default),Roboto,Roboto,"material design 3, md3, android, google, tonal, friendly, rounded, accessible, adaptive",Android 应用程序、跨平台工具、生产力软件、数据密集型 B2B 仪表板、企业移动设备,"https://fonts.google.com/share?selection.family=Roboto:ital,wght@0,300;0,400;0,500;0,700;1,400","@import url('https://fonts.googleapis.com/css2?family=Roboto:ital,wght@0,300;0,400;0,500;0,700;1,400&display=swap');","fontFamily: { sans: ['Roboto', 'sans-serif'] }",MD3 类型比例：显示大 56px/400/64px。标题大 32px/500/40px。标题大 22px/500/28px。主体大 16px/400/24px。标签中号 12px/500/16px。按钮和标签：letterSpacing 0.1px。在 Android 上使用 Roboto 系统；从适用于 iOS 的 Google Fonts 加载。切勿使用超过 300–700 的自定义权重。
66,Neo Brutalism Mobile (Space Grotesk Heavy),Geometric Sans (Bold-Only),Space Grotesk,Space Grotesk,"neo brutalism, pop art, loud, bold, heavy, stickers, mechanical, high contrast, cream, gen-z",创意工具、Z 世代营销、青年文化电子商务、内容组合、拼贴式应用程序,https://fonts.google.com/share?selection.family=Space+Grotesk:wght@700,@import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@700&display=swap');,"fontFamily: { display: ['Space Grotesk', 'sans-serif'], body: ['Space Grotesk', 'sans-serif'] }",仅限 700（粗体）和 900（黑色/粗体）——绝不是常规或浅色。显示：48–64px。标题：24–32px。身体：18–20px（对于野兽派密度来说保持沉重）。标签：14px 全部大写字母间距 2. 所有按钮和导航：大写。系统粗体作为后备。没有斜体，没有细重。
67,Bold Typography Mobile (Inter-Tight Poster),Sans + Serif (Display) + Mono,Inter,Playfair Display,"bold typography, editorial, poster, near-black, vermillion, luxury, type-as-hero, manifesto, high-contrast",创意品牌旗舰店、阅读平台、活动应用程序、Flash 页面、奢华移动体验,"https://fonts.google.com/share?selection.family=Inter:ital,wght@0,400;0,500;0,600;0,700;0,800;1,400|JetBrains+Mono:wght@400|Playfair+Display:ital@1","@import url('https://fonts.googleapis.com/css2?family=Inter:ital,wght@0,400;0,500;0,600;0,700;0,800;1,400&family=JetBrains+Mono:wght@400&family=Playfair+Display:ital@1&display=swap');","fontFamily: { display: ['Inter', 'sans-serif'], quote: ['Playfair Display', 'serif'], mono: ['JetBrains Mono', 'monospace'] }",三层堆栈：所有 UI 的 Inter 600–800（字母间距 -1.5px 英雄，-0.5px 小标题）。 Playfair 仅在重要引述中显示斜体。用于标签和统计数据的 JetBrains Mono。比例：12px 标签、16px 主体、22px 子部分、32px 部分、40px H2、56px H1、72px 英雄声明。 H1:Body 的比例为 5:1。 lineHeight 1.1 标题，1.6 正文。下划线（2-3 点重音）取代了交互按钮。
68,Academia Mobile (Cormorant + Crimson + Cinzel),Serif + Book Serif + Engraved (Triple Stack),Cormorant Garamond,Crimson Pro,"academia, library, mahogany, parchment, brass, scholarly, prestige, antique, victorian, leather",知识管理应用、学术阅读工具、个人品牌组合、RPG 游戏、文化社区平台,"https://fonts.google.com/share?selection.family=Cinzel:wght@400;500;600|Cormorant+Garamond:ital,wght@0,300;0,500;0,700;1,300;1,500|Crimson+Pro:ital,wght@0,300;0,400;0,600;1,300;1,400","@import url('https://fonts.googleapis.com/css2?family=Cinzel:wght@400;500;600&family=Cormorant+Garamond:ital,wght@0,300;0,500;0,700;1,300;1,500&family=Crimson+Pro:ital,wght@0,300;0,400;0,600;1,300;1,400&display=swap');","fontFamily: { heading: ['Cormorant Garamond', 'serif'], body: ['Crimson Pro', 'serif'], display: ['Cinzel', 'serif'] }",三重堆叠：Cormorant Garamond Medium，适用于所有标题（32–40px 紧密前导）。 Crimson Pro Regular 用于正文阅读文本（16–18px，行高 24–26px）。 Cinzel SemiBold 用于全大写标签、上划线、部分前缀（10–12px，字母间距 2–3px）。首字下沉：第一个字母 60px Cinzel，黄铜 #C9A962。部分前缀：VOLUME I/II/III，Cinzel 10px。任何地方都没有无衬线字体。
69,Cyberpunk Mobile (Orbitron + JetBrains Mono),Tech Display + Mono,Orbitron,JetBrains Mono,"cyberpunk, neon, glitch, hud, sci-fi, dark, matrix green, magenta, chamfered, tactical",游戏配套应用程序、金融科技/加密货币、数据可视化、黑暗品牌应用程序、赛博朋克叙事游戏,https://fonts.google.com/share?selection.family=JetBrains+Mono:wght@400;500|Orbitron:wght@700;900,@import url('https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500&family=Orbitron:wght@700;900&display=swap');,"fontFamily: { heading: ['Orbitron', 'sans-serif'], body: ['JetBrains Mono', 'monospace'] }",双堆栈：H1 的 Orbitron 700–900（42px 大写字母间距 4，字体粗细 900）。 JetBrains Mono 400–500 适用于所有正文/数据文本（14px 字母间距 1）。标签：10px 大写，不透明度 0.7。标题比例激进：H1 42px，H2 28px，部分 20px。仅正文 14px 等宽字体。禁止混合无衬线字体。后备：等宽系统字体。 Orbitron 需要加载 - 使用 NativeWind 或 useFonts 挂钩。
70,Web3 Bitcoin DeFi (Space Grotesk + Inter + Mono),Geometric Sans + Sans + Mono (Triple),Space Grotesk,Inter,"web3, bitcoin, defi, digital gold, fintech, crypto, trustless, luminescent, precision, dark",DeFi 协议和钱包、NFT 平台、Metaverse 社交应用、高科技品牌登陆页面,https://fonts.google.com/share?selection.family=Inter:wght@400;500;600;700|JetBrains+Mono:wght@400;500|Space+Grotesk:wght@500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=JetBrains+Mono:wght@400;500&family=Space+Grotesk:wght@500;600;700&display=swap');,"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['Inter', 'sans-serif'], mono: ['JetBrains Mono', 'monospace'] }",三叠层：Space Grotesk 600-700 用于标题（几何、技术字符）。 Inter 400–600 适用于所有正文和 UI 文本（高易读性）。 JetBrains Mono Medium 适用于所有数据/统计数据/价格/哈希（技术准确性）。按钮：Inter Bold 大写字母间距 1.5。平衡图使用 MaskedView 渐变文本（橙色→金色）。标题比例：H1 36–42px、H2 24–28px、正文 16–18px、单色标签 12–14px。
71,Claymorphism Mobile (Nunito + DM Sans),Display Rounded + Geometric Sans,Nunito,DM Sans,"claymorphism, clay, rounded, playful, candy, bubbly, soft, 3d, children, education, tactile, spring, nunito, dm sans",儿童教育应用、青少年社交、品牌吉祥物应用、创意工具、金融科技游戏化,"https://fonts.google.com/share?selection.family=DM+Sans:ital,wght@0,400;0,500;0,700;1,400|Nunito:ital,wght@0,700;0,800;0,900;1,700","@import url('https://fonts.googleapis.com/css2?family=DM+Sans:ital,wght@0,400;0,500;0,700;1,400&family=Nunito:ital,wght@0,700;0,800;0,900;1,700&display=swap');","fontFamily: { display: ['Nunito', 'sans-serif'], body: ['DM Sans', 'sans-serif'] }",双栈：Nunito Black (900) 或 ExtraBold (800) 适用于所有标题 — 圆形端子是强制性的。 DM Sans Medium (500) 用于正文 — 干净且几何。比例：英雄 48px，行高 52，字母间距 -1。部分标题 32px 行高 38。卡片标题 22px 行高 28。正文 16px 行高 24。切勿将 Nunito 用于正文（小尺寸时装饰性太强）。任何标题切勿使用低于 700 的字重。 includeFontPadding: false 在所有 Nunito Text 组件上用于圆形按钮中的垂直居中。
72,Enterprise SaaS Mobile (Plus Jakarta Sans),Geometric Sans (Single Family),Plus Jakarta Sans,Plus Jakarta Sans,"enterprise, saas, b2b, professional, indigo, modern, approachable, legible, ios dynamic type, android scaling",B2B SaaS 应用程序、生产力工具、政府和金融移动应用程序、管理仪表板、企业入职培训,"https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:ital,wght@0,400;0,600;0,700;0,800;1,400","@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:ital,wght@0,400;0,600;0,700;0,800;1,400&display=swap');","fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }",单字体系列系统：Plus Jakarta Sans 平衡了专业权威与移动平易近人性。粗细刻度：屏幕标题/英雄为 ExtraBold 800（行高 1.1–1.2）。章节标题用粗体 700 表示。 SemiBold 600 用于卡片标题和按钮。正文常规 400（行高 1.4–1.5）。必须支持 iOS 动态类型和 Android 字体缩放 - 切勿在不考虑系统字体缩放的情况下对像素大小进行硬编码。按钮文本：大写，字母间距 0.5。标题：12px 常规。静音：Slate 500 #64748B。
73,Sketch Hand-Drawn Mobile (Kalam + Patrick Hand),Handwritten + Handwritten (Dual),Kalam,Patrick Hand,"sketch, hand-drawn, handwriting, human, imperfect, organic, paper, kalam, patrick hand, education, journal, creative",日记应用程序、原型工具、儿童图画书应用程序、创意平台、游戏化益智应用程序,https://fonts.google.com/share?selection.family=Kalam:wght@400;700|Patrick+Hand,@import url('https://fonts.googleapis.com/css2?family=Kalam:wght@400;700&family=Patrick+Hand&display=swap');,"fontFamily: { heading: ['Kalam', 'cursive'], body: ['Patrick Hand', 'cursive'] }",双手写堆栈：Kalam Bold (700) 适用于所有标题 — 高视觉重量、毡尖标记美观，传达故意的混乱。 Patrick Hand Regular 适用于所有正文 — 在移动尺寸下高度清晰，同时保持明显的人性化。比例：标题 28–36px，并针对下降部分调整行高。正文 16–18px，行高 1.5。标签 14px。相邻元素之间的字体大小略有不同，以获得自然的感觉。避免对齐：长正文文本为“居中”——左对齐阅读起来更自然。这两种字体都需要在 Expo 中加载 useFonts。切勿将这些字体用于财务数字或法律文本。
74,Neumorphism Mobile (Plus Jakarta Sans + System),Geometric Sans (System Fallback),Plus Jakarta Sans,Plus Jakarta Sans,"neumorphism, soft ui, monochromatic, cool grey, minimal, physical, depth, ceramic, system font, utility",智能家居控制、最少的工具、美观的仪表板、健康监视器、品牌展示页面,"https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:ital,wght@0,400;0,500;0,700;1,400","@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:ital,wght@0,400;0,500;0,700;1,400&display=swap');","fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }",单系列或系统后备：Plus Jakarta Sans Bold/Medium 与单色 #E0E5EC 表面完美搭配 - 微妙的几何形状，而不与深度效果竞争。标题：24–32px 粗体 (700)，字母间距 -0.5，营造现代高级感。正文：16px 中 (500)，行高 1.4。标题：12px 常规 (400)。对所有主要文本使用主要文本 #3D4852（与 #E0E5EC 对比为 7.5:1）。使用文本静音 #6B7280（4.6:1 对比度）作为辅助文本。强调色 #6C63FF 仅适用于活动标签或焦点指示器。切勿使用斜体或细字重——它们在浮雕背景下会失去可读性。对于性能敏感的实施，系统（SF Pro / Roboto）是可接受的后备方案。
