No,UI_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
83,Space Tech / Aerospace,Immersive + Feature-Rich,Holographic/HUD + Dark Mode,深空黑+星空白+金属色,未来派+精确的排版,遥测动画 + 3D 渲染,"{""must_have"": ""high-tech-feel"", ""must_have"": ""precision-data""}",通用设计+无沉浸感,HIGH
84,Architecture / Interior,Portfolio + Hero-Centric,Exaggerated Minimalism + High Imagery,单色+金色点缀+高意象,建筑+优雅的排版,项目画廊 + 蓝图揭晓,"{""must_have"": ""high-res-images"", ""must_have"": ""project-portfolio""}",图像不佳+布局混乱,HIGH
85,Quantum Computing Interface,Immersive + Interactive,Holographic/HUD + Dark Mode,量子蓝(#00FFFF)+深黑,未来派+科学版式,概率可视化 + 量子位状态动画,"{""must_have"": ""complexity-visualization"", ""must_have"": ""scientific-credibility""}",通用技术设计+无可视化,HIGH
86,Biohacking / Longevity App,Data-Dense + Storytelling,Biomimetic/Organic 2.0 + Minimalism,细胞粉色/红色 + DNA 蓝色 + 白色,科学+清晰的排版,生物数据即 + 进度动画,"{""must_have"": ""data-privacy"", ""must_have"": ""scientific-credibility""}",通用健康应用程序+无隐私,HIGH
87,Autonomous Drone Fleet Manager,Real-Time + Feature-Rich,HUD/Sci-Fi FUI + Real-Time,战术绿+警戒红+地图暗,技术+功能排版,遥测动画+3D 空间感知,"{""must_have"": ""real-time-telemetry"", ""must_have"": ""safety-alerts""}",更新缓慢+空间可视化不佳,HIGH
88,Generative Art Platform,Showcase + Feature-Rich,Minimalism + Gen Z Chaos,中性 (#F5F5F5) + 用户内容,最小+以内容为中心的排版,画廊砖石+铸币动画,"{""must_have"": ""fast-loading"", ""must_have"": ""creator-attribution""}",重铬+加载缓慢,HIGH
89,Spatial Computing OS / App,Immersive + Interactive,Spatial UI (VisionOS) + Glassmorphism,磨砂玻璃+系统颜色+深度,空间+可读的排版,深度层次+注视交互,"{""must_have"": ""depth-hierarchy"", ""must_have"": ""environment-awareness""}",2D 设计+无空间深度,HIGH
90,Sustainable Energy / Climate Tech,Data + Trust,Organic Biophilic + E-Ink/Paper,大地绿+天蓝+太阳黄,清晰+信息丰富的排版,影响可视化 + 进度动画,"{""must_have"": ""data-transparency"", ""must_have"": ""impact-visualization""}",漂绿+无真实数据,HIGH
91,Personal Finance Tracker,Interactive Product Demo,Glassmorphism + Dark Mode (OLED),平静的蓝色+成功的绿色+警报的红色+图表强调,现代+层次清晰,背景模糊（10-20px）+半透明叠加,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_low_performance"": ""fallback-to-flat""}",纯白色背景,HIGH
92,Chat & Messaging App,Feature-Rich Showcase + Demo,Minimalism + Micro-interactions,品牌主色+气泡对比（发送/接收）+打字灰,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过度装饰,HIGH
93,Notes & Writing App,Minimal & Direct,Minimalism + Flat Design,干净的白色/奶油色+最小的口音+编辑器语法颜色,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过多的装饰+复杂的阴影+3D 效果,HIGH
94,Habit Tracker,Social Proof-Focused + Demo,Claymorphism + Vibrant & Block-based,条纹暖色（琥珀色/橙色）+进步绿色+励志口音,俏皮+圆润+友好,多层阴影+弹簧弹跳+软压 200ms,"{""if_trust_needed"": ""add-testimonials""}",柔和的色彩+低能量,HIGH
95,Food Delivery / On-Demand,Hero-Centric Design + Feature-Rich,Vibrant & Block-based + Motion-Driven,开胃暖色（橙/红）+信赖蓝+地图点缀,精力充沛+大胆+大,滚动动画+视差+页面过渡,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",柔和的色彩+低能量,HIGH
96,Ride Hailing / Transportation,Conversion-Optimized + Demo,Minimalism + Glassmorphism,品牌主色+地图中性色+状态指示器颜色,专业+层次清晰,背景模糊（10-20px）+半透明叠加,"{""if_low_performance"": ""fallback-to-flat"", ""if_conversion_focused"": ""add-urgency-colors""}",过度装饰,HIGH
97,Recipe & Cooking App,Hero-Centric Design + Feature-Rich,Claymorphism + Vibrant & Block-based,温暖的食物色调（赤土色/鼠尾草色/奶油色）+令人胃口大开的图像,俏皮+圆润+友好,多层阴影+弹簧弹跳+软压 200ms,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",柔和的色彩+低能量,HIGH
98,Meditation & Mindfulness,Storytelling-Driven + Social Proof,Neumorphism + Soft UI Evolution,超平静粉彩（薰衣草/鼠尾草/天空）+呼吸动画渐变,微妙+柔和+单色,双阴影（亮+暗）+轻压 150ms,"{""if_trust_needed"": ""add-testimonials""}",风格不一致+对比度差,HIGH
99,Weather App,Hero-Centric Design,Glassmorphism + Aurora UI,大气梯度（天蓝色→日落→风暴灰色）+温标,现代+层次清晰,背景模糊（10-20px）+半透明叠加,"{""if_low_performance"": ""fallback-to-flat""}",风格不一致+对比度差,HIGH
100,Diary & Journal App,Storytelling-Driven,Soft UI Evolution + Minimalism,温暖的纸色调（奶油色/亚麻色）+柔和的墨水+情绪编码的口音,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过度装饰,HIGH
101,CRM & Client Management,Feature-Rich Showcase + Demo,Flat Design + Minimalism,专业蓝+管道舞台色+封闭绿,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过多的装饰+复杂的阴影+3D 效果,HIGH
102,Inventory & Stock Management,Feature-Rich Showcase,Flat Design + Minimalism,功能中性+状态交通灯（绿色/琥珀色/红色）+扫描仪强调,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过多的装饰+复杂的阴影+3D 效果,HIGH
103,Flashcard & Study Tool,Feature-Rich Showcase + Demo,Claymorphism + Micro-interactions,俏皮的初级+正确的绿色+错误的红色+进步的蓝色,俏皮+圆润+友好,多层阴影+弹簧弹跳+软压 200ms,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",风格不一致+对比度差,HIGH
104,Booking & Appointment App,Conversion-Optimized,Soft UI Evolution + Flat Design,信任蓝色+可用绿色+预订灰色+确认重音,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_conversion_focused"": ""add-urgency-colors""}",复杂阴影+3D 效果,HIGH
105,Invoice & Billing Tool,Conversion-Optimized + Trust,Minimalism + Flat Design,专业藏青+付费绿+过期红+中性灰,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_conversion_focused"": ""add-urgency-colors""}",过多的装饰+复杂的阴影+3D 效果,HIGH
106,Grocery & Shopping List,Minimal & Direct + Demo,Flat Design + Vibrant & Block-based,清新绿色+食品级颜色+勾号口音,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",复杂的阴影 + 3D 效果 + 柔和的颜色 + 低能量,HIGH
107,Timer & Pomodoro,Minimal & Direct,Minimalism + Neumorphism,深色高对比度 + 聚焦红色/琥珀色 + 突破绿色,专业+层次清晰,双阴影（亮+暗）+轻压 150ms,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过度装饰,HIGH
108,Parenting & Baby Tracker,Social Proof-Focused + Trust,Claymorphism + Soft UI Evolution,柔和的粉彩（淡粉色/天蓝色/薄荷色/桃色）+ 温暖的色调,俏皮+圆润+友好,多层阴影+弹簧弹跳+软压 200ms,"{""if_trust_needed"": ""add-testimonials""}",风格不一致+对比度差,HIGH
109,Scanner & Document Manager,Feature-Rich Showcase + Demo,Minimalism + Flat Design,干净的白色+相机取景器强调+文件类型颜色编码,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过多的装饰+复杂的阴影+3D 效果,HIGH
110,Calendar & Scheduling App,Feature-Rich Showcase + Demo,Flat Design + Micro-interactions,干净的蓝色+事件类别强调色+成功绿色,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",复杂阴影+3D 效果,HIGH
111,Password Manager,Trust & Authority + Feature-Rich,Minimalism + Accessible & Ethical,信任蓝+安全绿+暗中性,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过度装饰+纯颜色指标,HIGH
112,Expense Splitter / Bill Split,Minimal & Direct + Demo,Flat Design + Vibrant & Block-based,成功绿+警报红+中性灰+头像强调色,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",复杂的阴影 + 3D 效果 + 柔和的颜色 + 低能量,HIGH
113,Voice Recorder & Memo,Interactive Product Demo + Minimal,Minimalism + AI-Native UI,干净的白色+录音红色+波形强调,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过度装饰,HIGH
114,Bookmark & Read-Later,Minimal & Direct + Demo,Minimalism + Flat Design,纸张暖白色 + 墨水中性 + 极简强调色 + 标签颜色,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过多的装饰+复杂的阴影+3D 效果,HIGH
115,Translator App,Feature-Rich Showcase + Interactive Demo,Flat Design + AI-Native UI,全球蓝+中性灰+语言标志重音,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",复杂阴影+3D 效果,HIGH
116,Calculator & Unit Converter,Minimal & Direct,Neumorphism + Minimalism,深色功能键+橙色操作键+清晰的按钮层次,专业+层次清晰,双阴影（亮+暗）+轻压 150ms,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过度装饰,HIGH
117,Alarm & World Clock,Minimal & Direct,Dark Mode (OLED) + Minimalism,深暗+环境发光+时区渐变,专业+层次清晰,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle""}",过多的装饰+纯白背景,HIGH
118,File Manager & Transfer,Feature-Rich Showcase + Demo,Flat Design + Minimalism,功能中性 + 文件类型颜色编码（PDF 橙色、文档蓝色、图像紫色）,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过多的装饰+复杂的阴影+3D 效果,HIGH
119,Email Client,Feature-Rich Showcase + Demo,Flat Design + Minimalism,干净白+品牌主色+优先红+贪睡琥珀色,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过多的装饰+复杂的阴影+3D 效果,HIGH
120,Casual Puzzle Game,Feature-Rich Showcase + Social Proof,Claymorphism + Vibrant & Block-based,欢快的粉彩+渐进渐变+奖励金色+明亮的口音,俏皮+圆润+友好,多层阴影+弹簧弹跳+软压 200ms,"{""if_trust_needed"": ""add-testimonials""}",柔和的色彩+低能量,HIGH
121,Trivia & Quiz Game,Feature-Rich Showcase + Social Proof,Vibrant & Block-based + Micro-interactions,活力蓝+正确的绿色+错误的红色+排行榜金色,精力充沛+大胆+大,触觉反馈 + 50-100 毫秒的小动画,"{""if_trust_needed"": ""add-testimonials""}",柔和的色彩+低能量,HIGH
122,Card & Board Game,Feature-Rich Showcase,3D & Hyperrealism + Flat Design,游戏主题毛毡绿+深色木纹+卡背图案,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",复杂阴影+3D 效果,HIGH
123,Idle & Clicker Game,Feature-Rich Showcase,Vibrant & Block-based + Motion-Driven,金币金+升级蓝+声望紫+进度绿,精力充沛+大胆+大,滚动动画+视差+页面过渡,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",柔和的色彩+低能量,HIGH
124,Word & Crossword Game,Minimal & Direct + Demo,Minimalism + Flat Design,干净的白色+温暖的字母瓷砖+成功的绿色+摇动的红色,专业+层次清晰,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过多的装饰+复杂的阴影+3D 效果,HIGH
125,Arcade & Retro Game,Feature-Rich Showcase + Hero-Centric,Pixel Art + Retro-Futurism,霓虹黑+像素调色板+分数金+危险红,怀旧+等宽字体+霓虹灯,微妙的悬停（200 毫秒）+ 平滑过渡,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",风格不一致+对比度差,HIGH
126,Photo Editor & Filters,Feature-Rich Showcase + Interactive Demo,Minimalism + Dark Mode (OLED),深色编辑器背景+充满活力的滤镜预览条+工具图标强调,专业+层次清晰,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle""}",过多的装饰+纯白背景,HIGH
127,Short Video Editor,Feature-Rich Showcase + Hero-Centric,Dark Mode (OLED) + Motion-Driven,深色背景+时间轴轨道强调色+效果预览生动,高对比度+暗底亮光,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle""}",纯白色背景,HIGH
128,Drawing & Sketching Canvas,Interactive Product Demo + Storytelling,Minimalism + Dark Mode (OLED),中性画布+全光谱颜色选择器+深色工具面板,专业+层次清晰,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle""}",过多的装饰+纯白背景,HIGH
129,Music Creation & Beat Maker,Interactive Product Demo + Storytelling,Dark Mode (OLED) + Motion-Driven,深色工作室背景 + 轨道颜色彩虹 + 波形强调 + BPM 脉冲,高对比度+暗底亮光,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle""}",纯白色背景,HIGH
130,Meme & Sticker Maker,Feature-Rich Showcase + Social Proof,Vibrant & Block-based + Flat Design,大胆主色+喜剧黄+病毒红+高饱和度强调,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_trust_needed"": ""add-testimonials""}",复杂的阴影 + 3D 效果 + 柔和的颜色 + 低能量,HIGH
131,AI Photo & Avatar Generator,Feature-Rich Showcase + Social Proof,AI-Native UI + Aurora UI,AI 紫+极光渐变+中性前后,优雅+渐变友好,流动渐变 8-12 秒 + 颜色变形,"{""if_trust_needed"": ""add-testimonials""}",风格不一致+对比度差,HIGH
132,Link-in-Bio Page Builder,Conversion-Optimized + Social Proof,Vibrant & Block-based + Bento Box Grid,品牌可定制+强调链接颜色+干净的白色画布,精力充沛+大胆+大,大截面间隙 48px+ + 颜色偏移悬停 + 滚动捕捉,"{""if_conversion_focused"": ""add-urgency-colors"", ""if_trust_needed"": ""add-testimonials""}",柔和的色彩+低能量,HIGH
133,Wardrobe & Outfit Planner,Storytelling-Driven + Feature-Rich,Minimalism + Motion-Driven,干净时尚中性+全衣服调色板+口音,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过度装饰,HIGH
134,Plant Care Tracker,Storytelling-Driven + Social Proof,Organic Biophilic + Soft UI Evolution,自然绿+土棕色+阳光黄提醒+水蓝色,温馨+人文+自然,圆形 16-24px + 自然阴影 + 流动 SVG,"{""if_trust_needed"": ""add-testimonials""}",风格不一致+对比度差,HIGH
135,Book & Reading Tracker,Social Proof-Focused + Feature-Rich,Swiss Modernism 2.0 + Minimalism,暖纸白+墨棕+阅读进度绿+书籍封面色,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_trust_needed"": ""add-testimonials""}",过度装饰,HIGH
136,Couple & Relationship App,Storytelling-Driven + Social Proof,Aurora UI + Soft UI Evolution,温馨浪漫的粉色/玫瑰色+柔和渐变+记忆照片色调,优雅+渐变友好,流动渐变 8-12 秒 + 颜色变形,"{""if_trust_needed"": ""add-testimonials""}",风格不一致+对比度差,HIGH
137,Family Calendar & Chores,Feature-Rich Showcase + Social Proof,Flat Design + Claymorphism,温馨俏皮+成员色编码+家务完成绿色,俏皮+圆润+友好,多层阴影+弹簧弹跳+软压 200ms,"{""if_trust_needed"": ""add-testimonials""}",复杂阴影+3D 效果,HIGH
138,Mood Tracker,Storytelling-Driven + Social Proof,Soft UI Evolution + Minimalism,情绪梯度（蓝色悲伤到黄色快乐）+每种心情的柔和+洞察口音,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_trust_needed"": ""add-testimonials""}",过度装饰,HIGH
139,Gift & Wishlist,Minimal & Direct + Conversion,Vibrant & Block-based + Soft UI Evolution,庆祝暖粉色/金色/红色+类别颜色+惊喜强调,精力充沛+大胆+大,大截面间隙 48px+ + 颜色偏移悬停 + 滚动捕捉,"{""if_conversion_focused"": ""add-urgency-colors""}",柔和的色彩+低能量,HIGH
140,Running & Cycling GPS,Feature-Rich Showcase + Social Proof,Dark Mode (OLED) + Vibrant & Block-based,活力橙色+地图强调+步速区域（绿色/黄色/红色）,高对比度+暗底亮光,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_trust_needed"": ""add-testimonials""}",纯白色背景+柔和的色彩+低能量,HIGH
141,Yoga & Stretching Guide,Storytelling-Driven + Social Proof,Organic Biophilic + Soft UI Evolution,大地平静鼠尾草/赤土色/奶油色+呼吸渐变+温暖色调,温馨+人文+自然,圆形 16-24px + 自然阴影 + 流动 SVG,"{""if_trust_needed"": ""add-testimonials""}",风格不一致+对比度差,HIGH
142,Sleep Tracker,Feature-Rich Showcase + Social Proof,Dark Mode (OLED) + Neumorphism,深午夜蓝 + 星星/月亮色调 + 睡眠质量梯度（差红色到大绿色）,高对比度+暗底亮光,双阴影（亮+暗）+轻压 150ms,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_trust_needed"": ""add-testimonials""}",纯白色背景,HIGH
143,Calorie & Nutrition Counter,Feature-Rich Showcase + Social Proof,Flat Design + Vibrant & Block-based,健康绿色+宏观色彩（蛋白质蓝、碳水化合物橙、脂肪黄）+进度圈,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_trust_needed"": ""add-testimonials""}",复杂的阴影 + 3D 效果 + 柔和的颜色 + 低能量,HIGH
144,Period & Cycle Tracker,Social Proof-Focused + Trust,Soft UI Evolution + Aurora UI,玫瑰/腮红+薰衣草色+生育绿+柔和的日历色调,优雅+渐变友好,流动渐变 8-12 秒 + 颜色变形,"{""if_trust_needed"": ""add-testimonials""}",风格不一致+对比度差,HIGH
145,Medication & Pill Reminder,Trust & Authority + Feature-Rich,Accessible & Ethical + Flat Design,医疗信托蓝色+错过警报红色+采取绿色+干净白色,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",复杂阴影 + 3D 效果 + 仅颜色指示器,HIGH
146,Water & Hydration Reminder,Minimal & Direct + Demo,Claymorphism + Vibrant & Block-based,清爽蓝色+水波动画+目标进度强调,俏皮+圆润+友好,多层阴影+弹簧弹跳+软压 200ms,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",柔和的色彩+低能量,HIGH
147,Fasting & Intermittent Timer,Feature-Rich Showcase + Social Proof,Minimalism + Dark Mode (OLED),禁食深蓝色/紫色+进食窗绿色+时间线中性,专业+层次清晰,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_trust_needed"": ""add-testimonials""}",过多的装饰+纯白背景,HIGH
148,Anonymous Community / Confession,Social Proof-Focused + Feature-Rich,Dark Mode (OLED) + Minimalism,深色保护+微妙渐变+点赞绿色+同理心温暖口音,专业+层次清晰,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_trust_needed"": ""add-testimonials""}",过多的装饰+纯白背景,HIGH
149,Local Events & Discovery,Hero-Centric Design + Feature-Rich,Vibrant & Block-based + Motion-Driven,城市活力 + 事件类别颜色 + 地图强调 + 日期突出显示,精力充沛+大胆+大,滚动动画+视差+页面过渡,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",柔和的色彩+低能量,HIGH
150,Study Together / Virtual Coworking,Social Proof-Focused + Feature-Rich,Minimalism + Soft UI Evolution,平静焦点蓝色+会话进度指示器+环境温暖中性色,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_trust_needed"": ""add-testimonials""}",过度装饰,HIGH
151,Coding Challenge & Practice,Feature-Rich Showcase + Social Proof,Dark Mode (OLED) + Cyberpunk UI,代码编辑器深色+成功绿色+难度渐变（简单绿色/中等琥珀色/硬红色）,高对比度+暗底亮光,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_trust_needed"": ""add-testimonials""}",纯白色背景,HIGH
152,Kids Learning (ABC & Math),Social Proof-Focused + Trust,Claymorphism + Vibrant & Block-based,明亮的主色 + 儿童安全粉彩 + 奖励金 + 互动口音,俏皮+圆润+友好,多层阴影+弹簧弹跳+软压 200ms,"{""if_trust_needed"": ""add-testimonials""}",柔和的色彩+低能量,HIGH
153,Music Instrument Learning,Interactive Product Demo + Social Proof,Vibrant & Block-based + Motion-Driven,音乐暖色深红/棕色+音符颜色系统+技能进度条,精力充沛+大胆+大,滚动动画+视差+页面过渡,"{""if_trust_needed"": ""add-testimonials""}",柔和的色彩+低能量,HIGH
154,Parking Finder,Conversion-Optimized + Feature-Rich,Minimalism + Glassmorphism,信任蓝色+可用绿色+占用红色+地图中立,专业+层次清晰,背景模糊（10-20px）+半透明叠加,"{""if_low_performance"": ""fallback-to-flat"", ""if_conversion_focused"": ""add-urgency-colors""}",过度装饰,HIGH
155,Public Transit Guide,Feature-Rich Showcase + Interactive Demo,Flat Design + Accessible & Ethical,公交品牌线路颜色+实时指示器绿色/红色+地图中性,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",复杂阴影 + 3D 效果 + 仅颜色指示器,HIGH
156,Road Trip Planner,Storytelling-Driven + Hero-Centric,Aurora UI + Organic Biophilic,探险暖日落橙+地图青色+停车标记+道路中性,优雅+渐变友好,流动渐变 8-12 秒 + 颜色变形,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",风格不一致+对比度差,HIGH
157,VPN & Privacy Tool,Trust & Authority + Conversion-Optimized,Minimalism + Dark Mode (OLED),深盾蓝色 + 连接绿色 + 断开红色 + 信任强调,专业+层次清晰,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_conversion_focused"": ""add-urgency-colors""}",过多的装饰+纯白背景,HIGH
158,Emergency SOS & Safety,Trust & Authority + Social Proof,Accessible & Ethical + Flat Design,警报红+安全蓝+位置绿+高对比度关键,粗体+干净+无衬线,色移悬停 + 150 毫秒快速过渡 + 无阴影,"{""if_trust_needed"": ""add-testimonials""}",复杂阴影 + 3D 效果 + 仅颜色指示器,HIGH
159,Wallpaper & Theme App,Feature-Rich Showcase + Social Proof,Vibrant & Block-based + Aurora UI,内容驱动 + 流行美学调色板 + 下载重点,精力充沛+大胆+大,大截面间隙 48px+ + 颜色偏移悬停 + 滚动捕捉,"{""if_trust_needed"": ""add-testimonials""}",柔和的色彩+低能量,HIGH
160,White Noise & Ambient Sound,Minimal & Direct + Social Proof,Minimalism + Dark Mode (OLED),平静的黑暗+环境纹理视觉+微妙的声波+睡眠蓝,专业+层次清晰,微妙的光芒+霓虹灯+高对比度,"{""if_light_mode_needed"": ""provide-theme-toggle"", ""if_trust_needed"": ""add-testimonials""}",过多的装饰+纯白背景,HIGH
161,Home Decoration & Interior Design,Storytelling-Driven + Feature-Rich,Minimalism + 3D Product Preview,中性内饰调色板+材质强调+AR 蓝色,专业+层次清晰,微妙的悬停 200 毫秒 + 平滑过渡 + 干净,"{""if_ux_focused"": ""prioritize-clarity"", ""if_mobile"": ""optimize-touch-targets""}",过度装饰,HIGH
